Ionic radius ,Temperature,Frequency
1.82e-10,20,1000000.0
1.82e-10,20,926000.0
1.82e-10,20,858000.0
1.82e-10,20,794000.0
1.82e-10,20,736000.0
1.82e-10,20,681000.0
1.82e-10,20,631000.0
1.82e-10,20,584000.0
1.82e-10,20,541000.0
1.82e-10,20,501000.0
1.82e-10,20,464000.0
1.82e-10,20,430000.0
1.82e-10,20,398000.0
1.82e-10,20,369000.0
1.82e-10,20,341000.0
1.82e-10,20,316000.0
1.82e-10,20,293000.0
1.82e-10,20,271000.0
1.82e-10,20,251000.0
1.82e-10,20,233000.0
1.82e-10,20,215000.0
1.82e-10,20,200000.0
1.82e-10,20,185000.0
1.82e-10,20,171000.0
1.82e-10,20,158000.0
1.82e-10,20,147000.0
1.82e-10,20,136000.0
1.82e-10,20,126000.0
1.82e-10,20,117000.0
1.82e-10,20,108000.0
1.82e-10,20,100000.0
1.82e-10,20,92600.0
1.82e-10,20,85800.0
1.82e-10,20,79400.0
1.82e-10,20,73600.0
1.82e-10,20,68100.0
1.82e-10,20,63100.0
1.82e-10,20,58400.0
1.82e-10,20,54100.0
1.82e-10,20,50100.0
1.82e-10,20,46400.0
1.82e-10,20,43000.0
1.82e-10,20,39800.0
1.82e-10,20,36900.0
1.82e-10,20,34100.0
1.82e-10,20,31600.0
1.82e-10,20,29300.0
1.82e-10,20,27100.0
1.82e-10,20,25100.0
1.82e-10,20,23300.0
1.82e-10,20,21500.0
1.82e-10,20,19900.0
1.82e-10,20,18500.0
1.82e-10,20,17100.0
1.82e-10,20,15800.0
1.82e-10,20,14700.0
1.82e-10,20,13600.0
1.82e-10,20,12600.0
1.82e-10,20,11700.0
1.82e-10,20,10800.0
1.82e-10,20,10000.0
1.82e-10,20,9260.0
1.82e-10,20,8570.0
1.82e-10,20,7940.0
1.82e-10,20,7350.0
1.82e-10,20,6810.0
1.82e-10,20,6310.0
1.82e-10,20,5840.0
1.82e-10,20,5410.0
1.82e-10,20,5010.0
1.82e-10,20,4640.0
1.82e-10,20,4300.0
1.82e-10,20,3980.0
1.82e-10,20,3690.0
1.82e-10,20,3420.0
1.82e-10,20,3160.0
1.82e-10,20,2930.0
1.82e-10,20,2710.0
1.82e-10,20,2510.0
1.82e-10,20,2330.0
1.82e-10,20,2150.0
1.82e-10,20,2000.0
1.82e-10,20,1850.0
1.82e-10,20,1710.0
1.82e-10,20,1580.0
1.82e-10,20,1470.0
1.82e-10,20,1360.0
1.82e-10,20,1260.0
1.82e-10,20,1170.0
1.82e-10,20,1080.0
1.82e-10,20,1000.0
1.82e-10,20,926.0
1.82e-10,20,858.0
1.82e-10,20,794.0
1.82e-10,20,736.0
1.82e-10,20,681.0
1.82e-10,20,631.0
1.82e-10,20,584.0
1.82e-10,20,541.0
1.82e-10,20,501.0
1.82e-10,20,464.0
1.82e-10,20,430.0
1.82e-10,20,398.0
1.82e-10,20,369.0
1.82e-10,20,341.0
1.82e-10,20,316.0
1.82e-10,20,293.0
1.82e-10,20,271.0
1.82e-10,20,251.0
1.82e-10,20,233.0
1.82e-10,20,215.0
1.82e-10,20,200.0
1.82e-10,20,185.0
1.82e-10,20,171.0
1.82e-10,20,159.0
1.82e-10,20,147.0
1.82e-10,20,136.0
1.82e-10,20,126.0
1.82e-10,20,117.0
1.82e-10,20,108.0
1.82e-10,20,100.0
1.82e-10,20,92.6
1.82e-10,20,85.8
1.82e-10,20,79.4
1.82e-10,20,73.6
1.82e-10,20,68.1
1.82e-10,20,63.1
1.82e-10,20,58.4
1.82e-10,20,54.1
1.82e-10,20,50.1
1.82e-10,20,46.4
1.82e-10,20,43.0
1.82e-10,20,39.8
1.82e-10,20,36.9
1.82e-10,20,34.1
1.82e-10,20,31.6
1.82e-10,20,29.3
1.82e-10,20,27.1
1.82e-10,20,25.1
1.82e-10,20,23.3
1.82e-10,20,21.6
1.82e-10,20,20.0
1.82e-10,20,18.5
1.82e-10,20,17.1
1.82e-10,20,15.8
