Ionic radius ,Temperature,Frequency,Re(Z),Img(Z)
1.82e-10,20,1000000.0,4565.279999999984,11632.199999999937
1.82e-10,20,926000.0,4812.939999999998,12171.399999999983
1.82e-10,20,858000.0,4751.8400000000065,12946.800000000367
1.82e-10,20,794000.0,5424.639999999975,13942.400000000198
1.82e-10,20,736000.0,6048.53999999997,13825.20000000002
1.82e-10,20,681000.0,6704.479999999959,15558.199999999817
1.82e-10,20,631000.0,7174.839999999961,15253.19999999981
1.82e-10,20,584000.0,7972.69999999998,16315.800000000167
1.82e-10,20,541000.0,8440.879999999976,16673.400000000183
1.82e-10,20,501000.0,9587.980000000023,17963.80000000049
1.82e-10,20,464000.0,10620.579999999989,18987.6000000001
1.82e-10,20,430000.0,11128.619999999988,18861.000000000076
1.82e-10,20,398000.0,13193.580000000025,20375.400000000438
1.82e-10,20,369000.0,13467.960000000028,20620.200000000415
1.82e-10,20,341000.0,14731.540000000068,21463.1999999999
1.82e-10,20,316000.0,15471.000000000091,22159.399999999812
1.82e-10,20,293000.0,16169.000000000044,22572.600000000508
1.82e-10,20,271000.0,17541.39999999999,23346.000000000447
1.82e-10,20,251000.0,19417.199999999986,24239.199999999615
1.82e-10,20,233000.0,19796.399999999987,24387.19999999966
1.82e-10,20,215000.0,20718.399999999976,24562.600000000537
1.82e-10,20,200000.0,20727.39999999997,24470.80000000051
1.82e-10,20,185000.0,22451.000000000076,25283.199999999746
1.82e-10,20,171000.0,23816.000000000135,25886.79999999935
1.82e-10,20,158000.0,24537.600000000144,26070.399999999216
1.82e-10,20,147000.0,26337.200000000135,26563.799999999166
1.82e-10,20,136000.0,27829.000000000124,27096.19999999931
1.82e-10,20,126000.0,28933.20000000004,27707.800000000305
1.82e-10,20,117000.0,29867.599999999915,28191.200000000485
1.82e-10,20,108000.0,30202.59999999993,28269.40000000047
1.82e-10,20,100000.0,32002.20000000007,29156.599999999857
1.82e-10,20,92600.0,33762.0000000002,29962.79999999941
1.82e-10,20,85800.0,34247.20000000031,30248.599999999336
1.82e-10,20,79400.0,35542.00000000026,30836.600000000217
1.82e-10,20,73600.0,36125.60000000025,31159.80000000028
1.82e-10,20,68100.0,37449.2000000001,32073.399999999685
1.82e-10,20,63100.0,38130.6,32576.99999999951
1.82e-10,20,58400.0,39019.99999999986,33274.799999999865
1.82e-10,20,54100.0,39295.999999999854,33446.199999999924
