frequency,Re(Z),Img(Z)
1000000.0,3461.0199999999945,-1325.4800000001549
912000.0,3484.120000000001,-1428.2000000003472
832000.0,3490.2200000000007,-1432.4800000003763
759000.0,3597.379999999994,-1564.9599999999864
692000.0,3591.840000000001,-1611.5000000000628
631000.0,3619.159999999985,-1720.759999999823
575000.0,3636.759999999991,-1840.4999999998067
525000.0,3742.3999999999896,-1965.4999999999427
479000.0,3818.240000000012,-2105.060000000355
437000.0,3802.720000000012,-2217.080000000172
398000.0,3878.160000000004,-2404.180000000309
363000.0,4006.8599999999856,-2518.540000000236
331000.0,4094.7999999999984,-2782.1800000003213
302000.0,4144.119999999994,-2876.800000000317
275000.0,4216.879999999991,-3070.7200000000707
251000.0,4253.819999999983,-3265.6799999999416
229000.0,4252.179999999997,-3538.2600000001776
209000.0,4436.239999999977,-3785.919999999903
191000.0,4601.199999999998,-4062.7999999996414
174000.0,4722.039999999972,-4402.540000000099
158000.0,4795.1799999999885,-4733.479999999857
145000.0,4707.219999999989,-5028.359999999896
132000.0,4822.799999999995,-5332.25999999998
120000.0,5126.260000000009,-5806.060000000379
110000.0,5208.839999999992,-6273.82000000004
100000.0,5358.999999999986,-6746.360000000413
91200.0,5612.039999999989,-7363.160000000289
83200.0,5751.460000000035,-7937.100000000389
75900.0,6048.840000000032,-8720.17999999967
69200.0,6242.180000000038,-9271.999999999416
63100.0,6502.879999999994,-10215.039999999886
57500.0,6913.31999999998,-10802.91999999982
52500.0,7361.420000000025,-11666.13999999988
47900.0,7826.079999999998,-12595.1999999998
43700.0,8310.000000000055,-13566.000000000387
39800.0,9079.219999999994,-14951.20000000028
36300.0,9739.47999999999,-15740.199999999437
33100.0,10544.680000000026,-16889.200000000186
30200.0,11479.88,-18077.400000000503
27500.0,12531.639999999945,-19293.399999999616
25100.0,13857.039999999914,-20710.39999999988
22900.0,14500.199999999955,-21571.59999999993
20900.0,16325.799999999988,-22832.800000000178
19100.0,18991.20000000008,-24511.20000000028
17400.0,20055.800000000083,-25136.40000000026
15800.0,22414.19999999985,-26344.000000000487
14500.0,24728.99999999984,-27296.59999999949
13200.0,27272.400000000023,-27976.399999999485
12000.0,29230.999999999964,-28356.999999999847
11000.0,32354.800000000112,-28880.80000000036
10000.0,36498.00000000007,-29277.99999999992
